lastName,firstName,middleName,series,number,birthDate,birthPlace,subdivisionCode,issuedDate,issuingAuthority
Ширяев,Тит,Денисович,33 53,324497,31.12.1973,г. Каневская,972-299,19.01.2019,Паспортно-визовая служба ОВД по Владимирской области в г. Александров
Князева,Анна,Константиновна,83 95,170327,03.11.1967,г. Миасс,932-022,28.12.2012,Отдел по вопросам миграции МВД России по Брянской области в г. Клинцы
Калинина,Фаина,Харитоновна,85 49,677100,05.03.2005,г. Сеймчан,661-089,26.03.2025,Отделение УФМС России по Кемеровской области в г. Кемерово
Большакова,Регина,Ждановна,02 53,406847,09.11.1993,г. Лагань,292-816,06.12.2013,Отделение УФМС России по Республике Марий Эл
Савельева,Таисия,Семеновна,36 50,025280,13.05.1973,г. Улан-Удэ,642-030,02.06.2018,Отдел МВД России по г. Москве в районе Кузьминки
Михайлов,Аркадий,Захарьевич,32 35,871616,29.12.1999,г. Череповец,873-866,09.01.2020,Отдел по вопросам миграции ОМВД России по Республике Мордовия в г. Рузаевка
Нестерова,Маргарита,Степановна,41 59,869592,25.03.1981,г. Уварово,812-232,26.04.2026,Отдел полиции УМВД России по Республике Тыва
Аксенова,Ия,Владимировна,67 87,073828,24.08.1994,г. Нальчик,921-064,27.09.2014,Территориальный отдел МВД России по г. Новокузнецк по Свердловскому району
Лапина,Евпраксия,Даниловна,53 67,132388,01.08.1999,г. Нижний Тагил,141-260,28.09.2019,Отдел по вопросам миграции МВД России по Республике Коми
Степанова,Акулина,Константиновна,01 85,724470,07.07.1968,г. Кандалакша,112-197,23.08.2013,Отделение по вопросам миграции ОМВД России по г. Москве в районе Кузьминки
Горбачева,Кира,Алексеевна,46 34,993370,17.02.1982,г. Катайск,662-137,24.03.2002,Управление внутренних дел по Брянской области в г. Клинцы
Гаврилова,Клавдия,Афанасьевна,61 55,769258,27.06.1985,г. Омск,193-293,17.07.2005,Главное управление МВД России по Саратовской области в г. Саратов
Ильин,Борислав,Федотович,50 66,480766,20.02.1970,г. Троицк (Челяб.),281-586,07.03.2015,Отдел МВД России по Тюменской области в г. Ишим
Кононова,Ольга,Вениаминовна,30 67,667157,19.10.1974,г. Витим,232-830,08.12.2019,Главное управление МВД России по Томской области в г. Северск
Алексеева,Валентина,Викторовна,96 35,639572,10.04.1980,г. Новый Оскол,193-963,24.05.2025,Территориальный отдел МВД России по Хабаровскому краю в г. Хабаровск
Герасимов,Владимир,Валерьевич,68 87,541866,07.12.1976,г. Устюжна,823-376,08.01.2022,Отделение УФМС России по Республике Татарстан
Зыков,Твердислав,Федосеевич,91 79,870027,02.06.1992,г. Тутаев,111-980,30.07.2012,Отдел УФМС России по г. Красноярск по Советскому району
Королева,Евфросиния,Федоровна,31 42,039302,07.12.1992,г. Валаам,813-427,10.01.2013,Отдел по вопросам миграции ОМВД России по Республике Тыва в г. Кызыл
Якушев,Валентин,Глебович,16 85,823882,19.05.2007,г. Калачинск,222-800,17.06.2021,Управление внутренних дел по Владимирской области
Смирнов,Матвей,Трифонович,19 80,506247,05.02.2001,г. Тура,832-159,31.03.2021,Паспортный стол ОВД по Республике Саха (Якутия)
Данилов,Самсон,Аверьянович,02 29,408834,17.12.2005,г. Котлас,072-128,15.02.2026,Главное управление МВД России по Калининградской области
Пономарева,Фёкла,Кузьминична,40 74,854296,04.08.1968,г. Верхний Уфалей,612-986,26.09.2013,Отдел полиции УМВД России по Новгородской области в г. Великий Новгород
Чернова,Евпраксия,Юрьевна,42 47,521473,15.01.2005,г. Куртамыш,821-869,25.01.2025,Отделение по вопросам миграции ОМВД России по Ставропольскому краю
Колобов,Велимир,Вячеславович,46 36,485805,27.05.2006,г. Брянск,672-330,09.07.2020,Паспортно-визовая служба ОВД по Курганской области в г. Курган
Нестерова,Ия,Викторовна,17 93,277661,04.01.2005,г. Анапа,713-995,21.02.2025,Управление по вопросам миграции МВД России по Псковской области в г. Великие Луки
Попов,Якуб,Харитонович,29 37,564940,21.08.1990,г. Ершов,913-718,08.10.2010,Территориальный отдел МВД России по Новосибирской области
Гордеев,Кир,Ефремович,60 65,497801,27.01.2004,г. Цимлянск,351-945,05.03.2024,Отдел полиции УМВД России по Вологодской области
Дорофеев,Вышеслав,Артемьевич,87 31,629144,30.06.1960,г. Нарткала,872-340,10.07.2005,Отделение УФМС России по г. Улан-Удэ по Советскому району
Козлов,Епифан,Феодосьевич,60 58,039272,25.11.1998,г. Губкинский,472-253,14.12.2018,Отдел полиции УМВД России по Ханты-Мансийскому автономному округу — Югре в г. Ханты-Мансийск
Артемьев,Савелий,Елисеевич,21 33,964498,18.09.2002,г. Усть-Кут,093-482,05.11.2022,Отдел МВД России по Ивановской области в г. Кинешма
Захаров,Руслан,Харлампович,25 63,494088,11.03.1978,г. Поярково,081-412,08.04.2023,Территориальный отдел МВД России по Владимирской области
Беспалова,Элеонора,Леоновна,34 48,870701,22.12.1969,г. Нарьян-Мар,501-310,08.01.2015,Отдел МВД России по Алтайскому краю в г. Новоалтайск
Красильников,Орест,Феликсович,82 87,825198,06.05.1967,г. Поярково,631-900,21.06.2012,Территориальный отдел МВД России по Ханты-Мансийскому автономному округу — Югре в г. Нефтеюганск
Брагина,Варвара,Ждановна,47 82,259979,27.03.2001,г. Ахтубинск,953-640,19.04.2021,Отдел по вопросам миграции ОМВД России по Курской области
Сорокин,Мефодий,Афанасьевич,45 40,873332,09.12.1987,г. Хабаровск,392-448,06.01.2008,Отделение УФМС России по Красноярскому краю в г. Минусинск
Мартынов,Прокл,Яковлевич,66 70,984088,18.08.2004,г. Кемерово,303-548,10.09.2024,Управление МВД России по Республике Алтай
Смирнова,Олимпиада,Алексеевна,51 75,303450,23.03.1966,г. Калач-на-Дону,582-475,02.04.2011,Территориальный отдел МВД России по Кемеровской области
Шарапов,Иван,Ермолаевич,42 64,671556,08.01.1973,г. Ачинск,152-282,17.02.2018,Управление по вопросам миграции МВД России по Калининградской области
Соболев,Флорентин,Адамович,08 83,468723,02.08.1987,г. Рыбинск,093-195,10.09.2007,Паспортный стол ОВД по Пермскому краю
Рыбаков,Чеслав,Бориславович,41 63,699323,06.10.1975,г. Вилюйск,772-791,26.10.2020,Отдел полиции УМВД России по Республике Саха (Якутия) в г. Якутск
Мишин,Парамон,Антонович,94 28,351124,19.08.1985,г. Абинск,962-399,29.09.2005,Паспортно-визовая служба ОВД по Сахалинской области в г. Корсаков
Родионова,Ия,Вадимовна,94 47,688699,29.07.1995,г. Мончегорск,382-413,03.09.2015,Межрайонный отдел УФМС России по Республике Хакасия в г. Абакан
Гурьева,Дарья,Валериевна,88 37,942943,05.04.2001,г. Троицко-Печорск,231-690,30.04.2021,Паспортный стол ОВД по Краснодарскому краю в г. Краснодар
Рябова,Ольга,Ильинична,04 61,839702,22.06.1974,г. Верхнее Пенжино,753-112,01.08.2019,Управление внутренних дел по Вологодской области
Исаев,Венедикт,Александрович,52 69,693404,25.11.1988,г. Верхний Уфалей,792-905,05.12.2008,Отдел УФМС России по Томской области
Веселов,Милан,Владленович,86 73,501088,28.06.1983,г. Гатчина,563-980,07.08.2003,Главное управление МВД России по Пермскому краю в г. Пермь
Фадеев,Любомир,Тимурович,94 89,749925,10.01.1968,г. Костомукша,172-963,27.02.2013,Управление МВД России по Республике Алтай в г. Горно-Алтайск
Шилова,Кира,Ефимовна,28 32,453693,24.01.2006,г. Гагарин,913-337,03.03.2020,Отдел полиции УМВД России по Астраханской области в г. Астрахань
Савельева,Галина,Вениаминовна,90 83,029863,21.10.1976,г. Клин,833-678,07.12.2021,Паспортно-визовая служба ОВД по Тюменской области
Савельев,Христофор,Игнатович,03 85,996052,09.11.1968,г. Батайск,333-562,13.12.2013,Управление МВД России по Челябинской области
Филатова,Анна,Мироновна,31 32,448404,29.06.1960,г. Печора,203-250,13.08.2005,Управление внутренних дел по Орловской области в г. Орёл
Анисимов,Радован,Витальевич,02 38,844807,02.03.1982,г. Гремячинск (Бурят.),603-736,22.04.2002,Межрайонный отдел УФМС России по Республике Карелия
Моисеева,Вероника,Натановна,59 82,005363,13.09.2007,г. Хужир,111-338,23.10.2021,Управление МВД России по Республике Адыгея в г. Майкоп
Павлов,Эмиль,Якубович,55 50,063645,06.05.1983,г. Тамбей,882-678,17.06.2003,Отделение по вопросам миграции ОМВД России по Нижегородской области в г. Дзержинск
Савин,Агафон,Чеславович,47 46,607678,08.03.1986,г. Славгород,411-662,07.04.2006,Районный отдел УФМС России по Пензенской области в г. Кузнецк
Молчанов,Радислав,Елисеевич,96 84,676966,10.03.1962,г. Белокуриха,611-505,24.03.2007,Отделение УФМС России по Иркутской области в г. Усолье-Сибирское
Белякова,Ульяна,Романовна,69 59,558332,22.07.2007,г. Мценск,143-440,20.09.2021,Паспортный стол ОВД по Алтайскому краю в г. Новоалтайск
Кабанова,Юлия,Валериевна,63 88,077237,28.12.1990,г. Уссурийск,622-933,15.01.2011,Отдел УФМС России по Курганской области в г. Курган
Фомичев,Андрон,Иларионович,14 60,471750,27.05.1993,г. Торжок,253-092,16.06.2013,Управление внутренних дел по Республике Северная Осетия — Алания
Моисеев,Клавдий,Изотович,93 76,920949,15.10.1971,г. Чехов,861-463,06.11.2016,Отделение УФМС России по Ставропольскому краю
Большаков,Елисей,Арсеньевич,81 48,859814,29.12.1967,г. Бирск,013-846,06.02.2013,Управление внутренних дел по Ленинградской области в г. Кириши
Бобров,Зосима,Бенедиктович,83 34,287102,20.01.1996,г. Ростов,701-900,06.02.2016,Отдел по вопросам миграции МВД России по Нижегородской области в г. Саров
Смирнова,Варвара,Семеновна,04 42,888666,09.07.1974,г. Нефтегорск (Самар.),672-855,01.09.2019,Отдел по вопросам миграции МВД России по г. Рязань по Первомайскому району
Комиссарова,София,Владимировна,34 57,959171,14.02.1985,г. Чехов,382-134,06.04.2005,Паспортный стол ОВД по Республике Дагестан
Лазарев,Артемий,Андреевич,10 92,589017,10.09.1976,г. Глазов,663-375,21.09.2021,Отдел по вопросам миграции ОМВД России по Самарской области
Блохин,Тихон,Изотович,40 60,727834,31.10.1999,г. Калач-на-Дону,291-931,20.12.2019,Управление по вопросам миграции МВД России по Камчатскому краю в г. Елизово
Фадеев,Захар,Демьянович,23 48,973189,05.10.1982,г. Верещагино (Перм.),423-077,07.11.2002,Управление по вопросам миграции МВД России по Ивановской области в г. Кинешма
Морозов,Лучезар,Жанович,22 75,093245,25.07.1983,г. Малгобек,553-246,07.08.2003,Паспортный стол ОВД по Волгоградской области
Сергеев,Мина,Филатович,43 71,672771,19.11.1975,г. Кош-Агач,131-246,12.12.2020,Отдел МВД России по Республике Бурятия в г. Улан-Удэ
Воронцов,Ярослав,Антипович,34 93,616772,08.05.1991,г. Верхний Уфалей,483-147,10.06.2011,Паспортно-визовая служба ОВД по Волгоградской области в г. Волжский
Никонов,Каллистрат,Августович,24 61,451536,06.08.2004,г. Тайшет,171-583,19.09.2024,Отдел МВД России по Республике Алтай в г. Горно-Алтайск
Попов,Демьян,Харитонович,71 60,544122,20.05.1963,г. Вуктыл,132-041,22.06.2008,Территориальный отдел МВД России по Республике Адыгея
Шубин,Радислав,Власович,07 51,426060,06.03.1982,г. Нягань,713-595,22.04.2002,Паспортный стол ОВД по Самарской области
Рожков,Орест,Харитонович,49 56,642208,26.01.1996,г. Адлер,281-449,10.03.2016,Управление по вопросам миграции МВД России по Ростовской области в г. Шахты
Ильина,Майя,Матвеевна,91 88,643291,14.10.1979,г. Стрежевой,492-705,31.10.2024,Территориальный отдел МВД России по г. Севастополю
Лукин,Добромысл,Демьянович,53 33,381750,28.05.1984,г. Белокуриха,341-028,15.07.2004,Отдел УФМС России по Ивановской области в г. Иваново
Рожков,Фотий,Ааронович,84 92,006772,15.04.1993,г. Верхнее Пенжино,102-724,27.05.2013,Управление по вопросам миграции МВД России по Курской области
Ершов,Леонтий,Вячеславович,12 57,536705,07.08.2003,г. Тихорецк,103-353,31.08.2023,Отделение по вопросам миграции ОМВД России по Республике Северная Осетия — Алания
Сидорова,Акулина,Олеговна,23 77,993357,02.02.1975,г. Мирный,181-831,27.03.2020,Отделение по вопросам миграции ОМВД России по г. Рязань по Кировскому району
Агафонова,Надежда,Дмитриевна,37 94,391653,26.10.1992,г. Хабаровск,861-637,17.11.2012,Паспортно-визовая служба ОВД по Кабардино-Балкарской Республике в г. Нальчик
Молчанова,Валерия,Васильевна,03 70,654366,26.12.1967,г. Карпинск,343-295,12.01.2013,Отделение по вопросам миграции ОМВД России по Республике Коми
Дементьева,Александра,Матвеевна,01 54,306465,01.07.1995,г. Агинское (Забайк.),022-732,15.07.2015,Отдел полиции УМВД России по Челябинской области в г. Златоуст
Федотов,Мирослав,Гавриилович,52 39,662768,11.02.1983,г. Вилюйск,793-515,10.03.2003,Отдел по вопросам миграции ОМВД России по Республике Северная Осетия — Алания в г. Владикавказ
Григорьев,Игнатий,Валентинович,83 82,433354,20.07.1975,г. Карталы,831-360,10.08.2020,Отделение УФМС России по Приморскому краю в г. Уссурийск
Матвеева,Зоя,Оскаровна,24 76,246742,25.07.1995,г. Жуковский,541-955,31.08.2015,Районный отдел УФМС России по г. Улан-Удэ по Курчатовскому району
Логинов,Терентий,Владиславович,67 29,952648,22.07.1993,г. Внуково (метеост.),903-214,02.08.2013,Паспортно-визовая служба ОВД по Камчатскому краю
Харитонов,Изяслав,Арсенович,38 27,099700,06.05.2000,г. Тимашевск,663-170,23.06.2020,Отдел МВД России по Астраханской области
Виноградов,Борислав,Валерьевич,93 46,048199,22.09.1981,г. Александров Гай,161-635,11.11.2026,Районный отдел УФМС России по Республике Марий Эл
Андреев,Капитон,Исидорович,93 51,957479,08.07.1973,г. Камень-на-Оби,732-063,21.08.2018,Территориальный отдел МВД России по Краснодарскому краю в г. Сочи
Зуев,Чеслав,Ааронович,15 92,357629,09.12.1972,г. Муром,622-211,27.12.2017,Паспортно-визовая служба ОВД по Ленинградской области в г. Кириши
Кузьмина,Мария,Анатольевна,58 78,821040,19.05.1984,г. Киренск,952-881,10.07.2004,Управление МВД России по Владимирской области
Давыдов,Любомир,Антипович,58 37,190302,21.06.1986,г. Красногорск (Моск.),612-937,14.08.2006,Отделение УФМС России по Псковской области в г. Псков
Селиверстов,Федосий,Марсович,06 91,327690,08.01.2005,г. Алагир,581-857,07.03.2025,Отделение по вопросам миграции ОМВД России по Ставропольскому краю
Павлова,Марфа,Филипповна,04 39,575148,15.01.1968,г. Змеиногорск,432-657,19.02.2013,Отдел МВД России по Кабардино-Балкарской Республике в г. Нальчик
Никонов,Анисим,Геннадиевич,23 39,984255,14.07.1996,г. Алагир,553-178,02.09.2016,Управление МВД России по Ивановской области в г. Кинешма
Жданова,Алина,Натановна,10 69,596645,23.04.1962,г. Салехард,433-114,26.05.2007,Отдел УФМС России по Новосибирской области
Воробьев,Валентин,Тарасович,79 76,263039,23.08.1960,г. Коломна,631-249,02.09.2005,Управление внутренних дел по Республике Мордовия
Коновалов,Алексей,Венедиктович,25 35,684857,24.12.1994,г. Усть-Ишим,683-738,24.01.2015,Паспортно-визовая служба ОВД по Тюменской области в г. Ишим
Калашникова,Евпраксия,Рубеновна,82 51,241904,17.01.2007,г. Троицк (Челяб.),903-994,11.02.2021,Территориальный отдел МВД России по Ханты-Мансийскому автономному округу — Югре
Дьячкова,Валерия,Георгиевна,06 83,769208,30.11.1962,г. Ельня,071-544,02.01.2008,Управление внутренних дел по Приморскому краю в г. Артём
Рябова,Наталья,Захаровна,44 65,190295,29.05.1995,г. Сковородино,353-633,08.07.2015,Отделение УФМС России по Волгоградской области в г. Волжский
Дорофеева,Евфросиния,Эльдаровна,85 30,130824,14.02.1980,г. Шереметьево,323-765,28.02.2025,Районный отдел УФМС России по Курганской области в г. Шадринск
Субботин,Азарий,Феодосьевич,46 93,472532,03.03.1998,г. Щелково,143-541,27.04.2018,Отдел полиции УМВД России по Ленинградской области
Князев,Милан,Зиновьевич,62 29,316036,23.09.1986,г. Кизилюрт,603-368,06.10.2006,Отдел по вопросам миграции МВД России по Забайкальскому краю
Громов,Леонтий,Богданович,67 90,925087,27.07.1996,г. Моршанск,882-335,26.08.2016,Отдел по вопросам миграции МВД России по Московской области в г. Химки
Зыкова,Евдокия,Игоревна,40 88,229208,10.12.1968,г. Славгород,091-061,31.12.2013,Паспортный стол ОВД по Ульяновской области в г. Ульяновск
Бобылев,Юрий,Виленович,06 37,726578,09.10.1987,г. Токсово,213-777,25.10.2007,Паспортно-визовая служба ОВД по Сахалинской области в г. Корсаков
Рябова,Анжела,Егоровна,25 95,920182,27.05.2003,г. Оса,543-047,21.06.2023,Главное управление МВД России по Республике Коми в г. Ухта
Якушев,Тит,Эдгарович,11 51,070888,01.01.2007,г. Голицыно,943-687,08.02.2021,Отделение УФМС России по Хабаровскому краю в г. Комсомольск-на-Амуре
Громова,Марина,Артемовна,15 35,308354,17.09.1969,г. Орск,451-494,10.11.2014,Районный отдел УФМС России по Республике Саха (Якутия) в г. Якутск
Субботин,Юрий,Валерьевич,25 94,968475,27.04.1978,г. Меренга,472-825,10.06.2023,Отдел по вопросам миграции МВД России по Владимирской области в г. Ковров
Крылов,Ратмир,Григорьевич,92 77,962352,27.02.1981,г. Петрозаводск,963-380,18.03.2026,Межрайонный отдел УФМС России по Чеченской Республике в г. Аргун
Маркова,Анна,Владиславовна,48 35,291364,21.06.1972,г. Ростов-на-Дону,412-009,30.07.2017,Межрайонный отдел УФМС России по Республике Саха (Якутия)
Никифоров,Панкратий,Фёдорович,65 77,452581,24.10.1988,г. Усть-Ордынский,212-421,11.12.2008,Отдел УФМС России по Республике Татарстан
Лаврентьева,Эмилия,Матвеевна,68 84,775251,25.02.1996,г. Стерлитамак,791-047,20.03.2016,Отдел полиции УМВД России по Еврейской автономной области в г. Биробиджан
Петрова,Ираида,Станиславовна,73 67,704238,02.03.1964,г. Усть-Калманка,383-445,25.03.2009,Межрайонный отдел УФМС России по Новосибирской области в г. Бердск
Кузнецова,Ираида,Юльевна,41 82,960173,12.08.1960,г. Братск,373-461,10.09.2005,Отделение УФМС России по Новосибирской области
Кошелева,Юлия,Кузьминична,05 39,504669,22.12.1960,г. Усть-Ишим,412-789,26.01.2006,Отдел полиции УМВД России по Еврейской автономной области
Соловьева,Екатерина,Яковлевна,86 27,340146,01.08.1979,г. Находка,691-867,01.09.2024,Отдел по вопросам миграции МВД России по Республике Мордовия
Фадеев,Ефим,Марсович,04 77,443824,13.06.1990,г. Гремячинск (Бурят.),733-501,22.07.2010,Отдел полиции УМВД России по Республике Тыва
Соболев,Ермил,Федосьевич,67 41,161396,28.02.1993,г. Калининград,601-060,31.03.2013,Территориальный отдел МВД России по Кировской области в г. Вятские Поляны
Тихонов,Архип,Бенедиктович,77 35,987729,18.04.1998,г. Курчатов,782-946,08.06.2018,Территориальный отдел МВД России по г. Санкт-Петербургу по Петроградскому району
Воронов,Софон,Адрианович,18 81,774040,03.04.1985,г. Чусовой,971-082,27.04.2005,Отдел полиции УМВД России по Архангельской области в г. Архангельск
Пономарев,Мирослав,Харлампьевич,03 59,667132,09.07.1980,г. Барнаул,161-910,18.08.2025,Отделение УФМС России по Ростовской области в г. Ростов-на-Дону
Юдина,Зоя,Аркадьевна,37 46,112103,18.01.1984,г. Алдан,203-148,04.02.2004,Управление внутренних дел по Хабаровскому краю
Крюков,Фока,Адамович,93 76,959937,19.10.2007,г. Амурск,841-059,01.11.2021,Отдел по вопросам миграции МВД России по Республике Мордовия в г. Рузаевка
Медведева,Виктория,Сергеевна,33 70,775602,05.03.1972,г. Видное,371-512,16.04.2017,Отдел полиции УМВД России по Свердловской области в г. Каменск-Уральский
Пахомов,Никита,Якубович,72 34,377847,05.05.2000,г. Данков,751-374,23.05.2020,Управление по вопросам миграции МВД России по Республике Саха (Якутия) в г. Якутск
Воронцов,Леон,Ермолаевич,33 92,142962,14.04.2005,г. Нижнекамск,533-428,14.05.2025,Управление МВД России по Республике Татарстан в г. Альметьевск
Панфилов,Исидор,Владиленович,51 28,584325,08.07.1973,г. Александровск,911-994,22.07.2018,Районный отдел УФМС России по Томской области в г. Стрежевой
Александрова,Глафира,Игоревна,42 32,790967,14.07.1993,г. Усть-Илимск,043-467,09.08.2013,Управление внутренних дел по Иркутской области в г. Усть-Илимск
Лаврентьева,Мария,Евгеньевна,41 40,502730,25.06.2001,г. Шелехов,021-414,06.08.2021,Отделение по вопросам миграции ОМВД России по Республике Тыва
Комиссаров,Станимир,Филиппович,50 54,134824,01.01.2000,г. Приморско-Ахтарск,852-571,15.01.2020,Отдел по вопросам миграции ОМВД России по Магаданской области в г. Магадан
Авдеева,Евдокия,Евгеньевна,78 92,140495,08.08.1981,г. Листвянка (Иркут.),571-025,04.10.2026,Паспортно-визовая служба ОВД по Чеченской Республике в г. Аргун
Шашков,Пантелеймон,Дмитриевич,96 89,734105,02.10.1988,г. Мезень,793-241,30.11.2008,Отдел по вопросам миграции ОМВД России по Краснодарскому краю в г. Краснодар
Русакова,Наина,Наумовна,57 53,702191,16.03.1972,г. Тулун,061-520,02.04.2017,Паспортный стол ОВД по Республике Ингушетия
Мишин,Мартьян,Демьянович,67 94,643387,11.12.2007,г. Черский,393-552,04.01.2022,Отдел МВД России по Новосибирской области
Гурьев,Флорентин,Фёдорович,33 32,600948,15.04.1986,г. Муром,463-216,20.05.2006,Управление МВД России по Республике Адыгея в г. Майкоп
Гурьева,Тамара,Вячеславовна,83 33,438153,08.06.1972,г. Майкоп,701-718,20.06.2017,Главное управление МВД России по Республике Саха (Якутия) в г. Нерюнгри
Денисова,Раиса,Станиславовна,21 73,073466,11.09.2006,г. Петропавловск-Камчатский,021-373,07.11.2020,Отдел по вопросам миграции ОМВД России по Ямало-Ненецкому автономному округу в г. Ноябрьск
Суворова,Тамара,Юрьевна,17 32,726871,15.03.1990,г. Шаховская,953-886,14.05.2010,Управление внутренних дел по Ставропольскому краю
Волкова,Лариса,Семеновна,56 47,749311,13.04.1976,г. Камышлов,501-857,01.05.2021,Отдел МВД России по Республике Калмыкия
Меркушева,Антонина,Павловна,09 56,999142,26.05.1996,г. Усть-Ишим,702-330,24.06.2016,Управление по вопросам миграции МВД России по Республике Бурятия в г. Северобайкальск
Горбунов,Авксентий,Фролович,65 92,118305,26.03.1980,г. Элиста,841-976,10.05.2025,Отдел МВД России по Омской области в г. Тара
Сергеев,Марк,Егорович,95 84,937807,18.10.1974,г. Можайск,231-325,10.11.2019,Управление по вопросам миграции МВД России по Кемеровской области
Емельянов,Трофим,Гертрудович,59 50,038670,14.09.2007,г. Шахты,711-914,05.11.2021,Паспортный стол ОВД по Омской области
Лукина,Марина,Геннадьевна,56 33,235313,22.07.2002,г. Луга,131-502,13.09.2022,Межрайонный отдел УФМС России по г. Москве в районе Фили-Давыдково
Рыбакова,Елена,Павловна,61 28,938152,05.03.2008,г. Балашов,471-684,05.04.2022,Паспортно-визовая служба ОВД по Астраханской области в г. Ахтубинск
Кононова,Раиса,Александровна,73 80,060933,07.10.2007,г. Юровск,333-834,27.10.2021,Управление по вопросам миграции МВД России по Рязанской области
Голубев,Роман,Эдгарович,58 77,018537,03.05.2007,г. Кяхта,323-292,14.06.2021,Отделение по вопросам миграции ОМВД России по Иркутской области
Ермакова,Жанна,Афанасьевна,08 93,198076,27.04.1996,г. Мончегорск,181-253,15.05.2016,Паспортный стол ОВД по Кемеровской области
Уваров,Леонид,Трифонович,64 92,600775,26.10.1999,г. Великие Луки,193-860,08.12.2019,Паспортный стол ОВД по Волгоградской области в г. Камышин
Аксенов,Еремей,Матвеевич,59 85,420149,17.03.1973,г. Белорецк,893-826,06.05.2018,Управление внутренних дел по Республике Марий Эл
Емельянова,Анна,Артемовна,16 34,188923,03.05.1981,г. Соликамск,643-041,15.05.2026,Отдел полиции УМВД России по Орловской области
Артемьев,Сила,Демьянович,48 52,857321,22.04.1963,г. Вуктыл,723-291,04.06.2008,Управление МВД России по Ханты-Мансийскому автономному округу — Югре в г. Нижневартовск
Лобанова,Юлия,Захаровна,29 58,512347,07.04.1995,г. Касимов,551-964,24.04.2015,Управление МВД России по Пензенской области в г. Заречный
Самсонов,Дмитрий,Трифонович,48 33,501714,29.12.1990,г. Алагир,391-912,17.01.2011,Управление внутренних дел по г. Санкт-Петербургу по Василеостровскому району
Тарасова,Ульяна,Тимуровна,52 61,127310,20.04.1987,г. Тверь,562-844,21.05.2007,Управление по вопросам миграции МВД России по г. Калининград по Заводскому району
Комаров,Филимон,Игнатович,16 31,156863,05.05.1997,г. Славгород,393-085,25.05.2017,Отделение УФМС России по Республике Калмыкия
Ершова,София,Алексеевна,88 46,745568,03.10.2003,г. Невьянск,633-261,10.11.2023,Паспортно-визовая служба ОВД по Белгородской области в г. Губкин
Красильникова,Октябрина,Владиславовна,49 59,006532,08.06.1999,г. Боровск,332-961,07.08.2019,Районный отдел УФМС России по Новгородской области
Сидоров,Бронислав,Борисович,70 45,818389,23.05.1967,г. Каргополь,272-425,07.06.2012,Главное управление МВД России по Ленинградской области в г. Тихвин
Петров,Мартьян,Анисимович,53 63,476656,19.04.1975,г. Холмск,872-521,06.05.2020,Главное управление МВД России по Рязанской области в г. Скопин
Молчанов,Сильвестр,Игоревич,98 68,072092,26.09.1969,г. Воркута,033-507,23.11.2014,Отделение УФМС России по Свердловской области в г. Екатеринбург
Савельева,Светлана,Геннадьевна,34 34,785619,18.10.1970,г. Чокурдах,442-995,14.11.2015,Паспортный стол ОВД по Краснодарскому краю
Мельникова,Светлана,Валериевна,70 64,681697,14.01.2000,г. Поронайск,883-506,04.03.2020,Отделение по вопросам миграции ОМВД России по Курганской области в г. Шадринск
Богданова,Елена,Борисовна,84 68,124321,04.12.2006,г. Усть-Илимск,852-534,26.12.2020,Паспортный стол ОВД по Пензенской области в г. Пенза
Тимофеев,Твердислав,Валерьевич,28 42,453925,22.09.1986,г. Юрьевец (Иван.),792-968,28.10.2006,Отдел МВД России по Забайкальскому краю в г. Чита
Орехова,Лариса,Макаровна,95 79,065918,24.11.1983,г. Салехард,063-958,20.12.2003,Отделение УФМС России по Краснодарскому краю в г. Сочи
Рожкова,Варвара,Анатольевна,45 48,792491,18.08.1994,г. Богучар,073-086,14.10.2014,Отдел МВД России по Рязанской области в г. Скопин
Колобов,Болеслав,Эдуардович,26 67,575667,24.05.1997,г. Сосногорск,632-997,03.07.2017,Отдел по вопросам миграции ОМВД России по Костромской области в г. Буй
Гусев,Арефий,Трифонович,23 45,892931,29.11.1990,г. Карталы,663-735,06.01.2011,Управление МВД России по Красноярскому краю в г. Канск
Мельников,Каллистрат,Матвеевич,27 65,840451,09.06.1998,г. Чегем,423-408,25.06.2018,Отдел полиции УМВД России по Псковской области в г. Псков
Комарова,Ирина,Захаровна,19 51,744183,09.12.1964,г. Торжок,982-664,29.01.2010,Территориальный отдел МВД России по Ростовской области в г. Таганрог
Новикова,Нинель,Геннадьевна,39 77,292451,11.09.2003,г. Ачинск,413-705,29.10.2023,Главное управление МВД России по Карачаево-Черкесской Республике в г. Черкесск
Мишин,Эрнст,Федосеевич,75 64,755889,28.10.1963,г. Кудымкар,313-571,12.12.2008,Паспортно-визовая служба ОВД по Республике Северная Осетия — Алания
Федосеева,Оксана,Богдановна,51 79,998285,21.06.1960,г. Токма,203-592,09.08.2005,Управление по вопросам миграции МВД России по Калужской области
Матвеева,Ульяна,Тимофеевна,91 79,277537,05.08.1985,г. Раменское,692-092,17.09.2005,Отдел по вопросам миграции ОМВД России по Липецкой области в г. Липецк
Горбачев,Никита,Григорьевич,61 73,761115,18.07.1983,г. Каменск-Шахтинский,952-929,14.09.2003,Территориальный отдел МВД России по Ханты-Мансийскому автономному округу — Югре в г. Ханты-Мансийск
Авдеев,Борис,Теймуразович,55 85,732318,30.07.1980,г. Томари,331-076,19.08.2025,Территориальный отдел МВД России по Республике Татарстан
